bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;nilai;satuan
11;Aceh;1102;Kabupaten Aceh Singkil;2022;22.96;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2022;27.21;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2022;25.64;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2022;30.29;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2022;40.17;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2022;62.82;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2022;37.12;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2022;27.98;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2022;34.58;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2022;45.83;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2022;29.38;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2022;29.88;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2022;34.62;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2022;61.75;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2022;32.5;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2022;32.92;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2022;24.54;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2022;83.31;Juta Rupiah
11;Aceh;1172;Kota Sabang;2022;38.85;Juta Rupiah
11;Aceh;1173;Kota Langsa;2022;32.7;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2022;52.91;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2022;24.99;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2023;30.22;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2023;24.03;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2023;29.37;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2023;27.1;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2023;31.5;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2023;43.97;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2023;66.28;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2023;40.2;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2023;30.11;Juta Rupiah
